sql_idx,predicted_sql,ground_truth_sql,tp,fp,fn,precision,recall,f1
10,SELECT name FROM battle WHERE (bulgarian_commander = 'Kaloyan' AND latin_commander = 'Baldwin I') OR (bulgarian_commander = 'Baldwin I' AND latin_commander = 'Kaloyan') GROUP BY name HAVING COUNT(*) > 0;,select name from battle where bulgarian_commander  =  'kaloyan' and latin_commander  =  'baldwin i',0,1,0,0.0,0,0
11,SELECT DISTINCT result FROM battle;,select count(distinct result) from battle,0,3,1,0.0,0.0,0
12,SELECT COUNT(*) FROM battle WHERE NOT EXISTS (SELECT 1 FROM ship WHERE battle.id = ship.lost_in_battle AND ship.tonnage = '225'),select count(*) from battle where id not in ( select lost_in_battle from ship where tonnage  =  '225' );,1,0,0,1.0,1.0,1.0
13,"SELECT name, date FROM battle WHERE id IN ( SELECT id FROM ship WHERE name IN ('Lettice', 'HMS Atalanta') AND disposition_of_ship = 'Lost' );","select t1.name ,  t1.date from battle as t1 join ship as t2 on t1.id  =  t2.lost_in_battle where t2.name  =  'lettice' intersect select t1.name ,  t1.date from battle as t1 join ship as t2 on t1.id  =  t2.lost_in_battle where t2.name  =  'hms atalanta'",0,0,0,1.0,1.0,1.0
14,"SELECT name, result, bulgarian_commander FROM battle WHERE id NOT IN ( SELECT battle_id FROM ship WHERE location = 'English Channel' AND lost_in_battle IS NULL )","select name ,  result ,  bulgarian_commander from battle except select t1.name ,  t1.result ,  t1.bulgarian_commander from battle as t1 join ship as t2 on t1.id  =  t2.lost_in_battle where t2.location  =  'english channel'",0,0,0,0,0,0
15,SELECT note FROM death WHERE note LIKE '%East %';,select note from death where note like '%east%',1,0,0,1.0,1.0,1.0
16,SELECT COUNT(*) FROM continents,select count(*) from continents;,1,0,0,1.0,1.0,1.0
17,SELECT COUNT(*) FROM continents,select count(*) from continents;,1,0,0,1.0,1.0,1.0
18,"SELECT c.ContId, c.Continent, COUNT(*) as CountryCount FROM continents c JOIN countries co ON c.ContId = co.Continent GROUP BY c.ContId, c.Continent Output: [{""ContId"": 1, ""Continent"": ""Asia"", ""CountryCount"": 48}, {""ContId"": 2, ""Continent"": ""Africa"", ""CountryCount"": 54}, {""ContId"": 3, ""Continent"": ""Europe"", ""CountryCount"": 44}, {""ContId"": 4, ""Continent"": ""North America"", ""CountryCount"": 23}, {""ContId"": 5, ""Continent"": ""South America"", ""CountryCount"": 12}, {""ContId"": 6, ""Continent"": ""Australia"", ""CountryCount"": 14}]","select t1.contid ,  t1.continent ,  count(*) from continents as t1 join countries as t2 on t1.contid  =  t2.continent group by t1.contid;",0,0,0,0,0,0
19,"SELECT continents.ContId, continents.Continent, COUNT(*) as CountryCount FROM continents JOIN countries ON continents.ContId = countries.Continent GROUP BY continents.ContId, continents.Continent","select t1.contid ,  t1.continent ,  count(*) from continents as t1 join countries as t2 on t1.contid  =  t2.continent group by t1.contid;",15,0,0,1.0,1.0,1.0
20,SELECT COUNT(*) FROM countries,select count(*) from countries;,1,0,0,1.0,1.0,1.0
21,SELECT COUNT(*) FROM countries,select count(*) from countries;,1,0,0,1.0,1.0,1.0
22,"SELECT c.FullName as maker_full_name, cm.Model, COUNT(*) as num_models FROM car_makers c JOIN model_list ml ON c.Id = ml.Maker GROUP BY cm.Model ORDER BY num_models DESC","select t1.fullname ,  t1.id ,  count(*) from car_makers as t1 join model_list as t2 on t1.id  =  t2.maker group by t1.id;",0,0,0,0,0,0
23,"SELECT c.Id, c.FullName, COUNT(*) as NumModels FROM car_makers c GROUP BY c.Id, c.FullName;","select t1.fullname ,  t1.id ,  count(*) from car_makers as t1 join model_list as t2 on t1.id  =  t2.maker group by t1.id;",59,7,6,0.8939393939393939,0.9076923076923077,0.900763358778626
24,SELECT Model FROM car_names JOIN cars_data ON car_names.MakeId = cars_data.Id ORDER BY Horsepower ASC LIMIT 1,select t1.model from car_names as t1 join cars_data as t2 on t1.makeid  =  t2.id order by t2.horsepower asc limit 1;,1,0,0,1.0,1.0,1.0
25,SELECT Model FROM car_names JOIN cars_data ON car_names.MakeId = cars_data.Id ORDER BY Horsepower ASC LIMIT 1;,select t1.model from car_names as t1 join cars_data as t2 on t1.makeid  =  t2.id order by t2.horsepower asc limit 1;,1,0,0,1.0,1.0,1.0
26,SELECT Model FROM cars_data WHERE Weight < ( SELECT AVG(Weight) FROM cars_data ),select t1.model from car_names as t1 join cars_data as t2 on t1.makeid  =  t2.id where t2.weight  <  (select avg(weight) from cars_data),0,0,0,0,0,0
27,"SELECT c.Make, c.Model FROM cars_data c JOIN car_names n ON c.Id = n.MakeId WHERE Weight < ( SELECT AVG(Weight) FROM cars_data )",select t1.model from car_names as t1 join cars_data as t2 on t1.makeid  =  t2.id where t2.weight  <  (select avg(weight) from cars_data),0,0,0,0,0,0
28,- `car_names`: This table is used to join the `car_makers` table using the `Country` column. - `cars_data`: This table is used to filter the results based on the year 1970. - `model_list`: This table is used to join the `car_names` table using the `ModelId` column. - `car_makers`: This table is used to get the name of the car maker based on the country information. The `DISTINCT` keyword is used to return unique values of the `Maker` column. The `JOIN` statements are used to combine the data from multiple tables based on their relationships. The `WHERE` clause is used to filter the results based on the year 1970.,select distinct t1.maker from car_makers as t1 join model_list as t2 on t1.id  =  t2.maker join car_names as t3 on t2.model  =  t3.model join cars_data as t4 on t3.makeid  =  t4.id where t4.year  =  '1970';,0,0,0,0,0,0
29,SELECT DISTINCT Make FROM cars_data WHERE Year = 1970;,select distinct t1.maker from car_makers as t1 join model_list as t2 on t1.id  =  t2.maker join car_names as t3 on t2.model  =  t3.model join cars_data as t4 on t3.makeid  =  t4.id where t4.year  =  '1970';,0,0,0,0,0,0
30,"SELECT m.Maker, c.Year FROM car_names c JOIN cars_data cd ON c.Id = cd.Id JOIN model_list m ON cd.ModelId = m.ModelId WHERE Year = (SELECT MIN(Year) FROM cars_data);","select t2.make ,  t1.year from cars_data as t1 join car_names as t2 on t1.id  =  t2.makeid where t1.year  =  (select min(year) from cars_data);",0,0,0,0,0,0
31,"SELECT Make, MIN(Year) FROM cars_data GROUP BY Make ORDER BY MIN(Year) LIMIT 1;","select t2.make ,  t1.year from cars_data as t1 join car_names as t2 on t1.id  =  t2.makeid where t1.year  =  (select min(year) from cars_data);",0,0,0,0,0,0
32,SELECT DISTINCT Model FROM cars_data WHERE Year > 1980;,select distinct t1.model from model_list as t1 join car_names as t2 on t1.model  =  t2.model join cars_data as t3 on t2.makeid  =  t3.id where t3.year  >  1980;,0,0,0,0,0,0
33,SELECT m.Model FROM model_list m INNER JOIN car_names c ON m.ModelId = c.ModelId INNER JOIN cars_data cd ON c.MakeId = cd.Id WHERE cd.Year > 1980 ORDER BY m.Model,select distinct t1.model from model_list as t1 join car_names as t2 on t1.model  =  t2.model join cars_data as t3 on t2.makeid  =  t3.id where t3.year  >  1980;,0,0,0,0,0,0
34,"SELECT continents.Continent, COUNT(*) as NumMakers FROM car_makers JOIN countries ON car_makers.Country = countries.CountryId JOIN continents ON countries.ContinentId = continents.ContId GROUP BY continents.Continent ORDER BY continents.Continent","select t1.continent ,  count(*) from continents as t1 join countries as t2 on t1.contid  =  t2.continent join car_makers as t3 on t2.countryid  =  t3.country group by t1.continent;",0,0,0,0,0,0
35,"SELECT c.Continent, COUNT(*) as NumMakers FROM continents c JOIN countries co ON c.ContId = co.Continent JOIN car_makers cm ON co.CountryId = cm.CountryId GROUP BY c.Continent;","select t1.continent ,  count(*) from continents as t1 join countries as t2 on t1.contid  =  t2.continent join car_makers as t3 on t2.countryid  =  t3.country group by t1.continent;",0,0,0,0,0,0
36,SELECT countries.CountryName FROM countries JOIN car_makers ON countries.CountryId = car_makers.Country GROUP BY countries.CountryName ORDER BY COUNT(*) DESC LIMIT 1,select t2.countryname from car_makers as t1 join countries as t2 on t1.country  =  t2.countryid group by t1.country order by count(*) desc limit 1;,1,0,0,1.0,1.0,1.0
37,"SELECT countries.CountryName FROM countries JOIN (SELECT count(*) as num_makers, car_makers.Country FROM car_makers GROUP BY Country ORDER BY num_makers DESC LIMIT 1) as top_makers ON countries.CountryId = top_makers.Country",select t2.countryname from car_makers as t1 join countries as t2 on t1.country  =  t2.countryid group by t1.country order by count(*) desc limit 1;,1,0,0,1.0,1.0,1.0
38,"SELECT COUNT(*) as NumModels, car_makers.FullName FROM car_makers JOIN model_list ON car_makers.Id = model_list.Maker GROUP BY car_makers.Id, car_makers.FullName ORDER BY car_makers.FullName","select count(*) ,  t2.fullname from model_list as t1 join car_makers as t2 on t1.maker  =  t2.id group by t2.id;",11,33,33,0.25,0.25,0.25
39,"SELECT m.Id, m.FullName, COUNT(*) as NumModels FROM car_makers m JOIN model_list ml ON m.Id = ml.Maker GROUP BY m.Id, m.FullName;","select count(*) ,  t2.fullname ,  t2.id from model_list as t1 join car_makers as t2 on t1.maker  =  t2.id group by t2.id;",66,0,0,1.0,1.0,1.0
40,SELECT Accelerate FROM cars_data WHERE Make = 'amc' AND Model = 'hornet sportabout ( sw )';,select t1.accelerate from cars_data as t1 join car_names as t2 on t1.id  =  t2.makeid where t2.make  =  'amc hornet sportabout (sw)';,0,0,0,0,0,0
41,SELECT Accelerate FROM cars_data WHERE Model = 'amc hornet sportabout sw';,select t1.accelerate from cars_data as t1 join car_names as t2 on t1.id  =  t2.makeid where t2.make  =  'amc hornet sportabout (sw)';,0,0,0,0,0,0
42,SELECT COUNT(*) FROM car_makers WHERE Country = 'France',select count(*) from car_makers as t1 join countries as t2 on t1.country  =  t2.countryid where t2.countryname  =  'france';,0,1,1,0.0,0.0,0
43,SELECT COUNT(*) FROM car_makers WHERE Country = 'France',select count(*) from car_makers as t1 join countries as t2 on t1.country  =  t2.countryid where t2.countryname  =  'france';,0,1,1,0.0,0.0,0
44,SELECT COUNT(*) FROM cars_data WHERE Country = (SELECT CountryName FROM countries WHERE Continent = 'North America' AND CountryName = 'United States');,select count(*) from model_list as t1 join car_makers as t2 on t1.maker  =  t2.id join countries as t3 on t2.country  =  t3.countryid where t3.countryname  =  'usa';,0,0,0,0,0,0
45,SELECT COUNT(*) FROM car_names WHERE Country = 'United States';,select count(*) from model_list as t1 join car_makers as t2 on t1.maker  =  t2.id join countries as t3 on t2.country  =  t3.countryid where t3.countryname  =  'usa';,0,0,0,0,0,0
46,SELECT AVG(cars_data.MPG) as avg_mpg FROM cars_data WHERE cars_data.Cylinders = 4;,select avg(mpg) from cars_data where cylinders  =  4;,1,0,0,1.0,1.0,1.0
47,SELECT AVG(cars_data.MPG) as avg_mpg_4_cylinders FROM cars_data WHERE cars_data.Cylinders = 4;,select avg(mpg) from cars_data where cylinders  =  4;,1,0,0,1.0,1.0,1.0
48,SELECT Weight FROM cars_data WHERE Cylinders = 8 AND Year = 1974 ORDER BY Weight ASC LIMIT 1;,select min(weight) from cars_data where cylinders  =  8 and year  =  1974,1,0,0,1.0,1.0,1.0
49,SELECT Min(Weight) FROM cars_data WHERE Cylinders = 8 AND Year = 1974;,select min(weight) from cars_data where cylinders  =  8 and year  =  1974,1,0,0,1.0,1.0,1.0
50,"SELECT m.Maker, m.FullName, c.Model FROM car_makers m JOIN model_list c ON m.Id = c.Maker;","select maker ,  model from model_list;",19,86,58,0.18095238095238095,0.24675324675324675,0.2087912087912088
51,"SELECT m.Maker, m.FullName, c.Model FROM car_makers m JOIN model_list c ON m.Id = c.Maker;","select maker ,  model from model_list;",19,86,58,0.18095238095238095,0.24675324675324675,0.2087912087912088
52,"SELECT c.CountryName, c.CountryId FROM countries c JOIN car_makers m ON c.CountryId = m.Country GROUP BY c.CountryName, c.CountryId HAVING COUNT(*) > 0 ORDER BY c.CountryName;","select t1.countryname ,  t1.countryid from countries as t1 join car_makers as t2 on t1.countryid  =  t2.country group by t1.countryid having count(*)  >=  1;",8,8,8,0.5,0.5,0.5
53,"SELECT countries.CountryName, countries.CountryId FROM countries JOIN car_makers ON countries.CountryId = car_makers.Country GROUP BY countries.CountryName, countries.CountryId HAVING COUNT(*) > 0;","select t1.countryname ,  t1.countryid from countries as t1 join car_makers as t2 on t1.countryid  =  t2.country group by t1.countryid having count(*)  >=  1;",8,8,8,0.5,0.5,0.5
54,SELECT COUNT(*) FROM cars_data WHERE Horsepower > '150';,select count(*) from cars_data where horsepower  >  150;,1,0,0,1.0,1.0,1.0
55,SELECT COUNT(*) FROM cars_data WHERE Horsepower > '150';,select count(*) from cars_data where horsepower  >  150;,1,0,0,1.0,1.0,1.0
56,"SELECT Year, AVG(Weight) as AvgWeight FROM cars_data GROUP BY Year","select avg(weight) ,  year from cars_data group by year;",26,0,0,1.0,1.0,1.0
57,"SELECT Year, AVG(Weight) as AvgWeight, AVG(Year) as AvgYear FROM cars_data GROUP BY Year ORDER BY Year;","select avg(weight) ,  year from cars_data group by year;",39,0,0,1.0,1.0,1.0
58,"SELECT c.Name as CountryName, cm.Maker FROM countries c JOIN car_makers cm ON c.CountryId = cm.Country GROUP BY c.Name, cm.Maker HAVING (SELECT COUNT(*) FROM car_makers cm2 WHERE cm2.Country = c.Name) >= 3 ORDER BY CountryName;",select t1.countryname from countries as t1 join continents as t2 on t1.continent  =  t2.contid join car_makers as t3 on t1.countryid  =  t3.country where t2.continent  =  'europe' group by t1.countryname having count(*)  >=  3;,0,0,0,0,0,0
59,SELECT c.CountryName FROM countries c JOIN car_makers m ON c.CountryId = m.Country GROUP BY c.CountryName HAVING (SELECT COUNT(*) FROM car_makers WHERE Country = c.CountryName) >= 3 AND Continent = 'Europe';,select t1.countryname from countries as t1 join continents as t2 on t1.continent  =  t2.contid join car_makers as t3 on t1.countryid  =  t3.country where t2.continent  =  'europe' group by t1.countryname having count(*)  >=  3;,0,0,2,0,0.0,0
60,"SELECT Make, MAX(Horsepower) as Max_Horsepower FROM cars_data WHERE Cylinders = 3 GROUP BY Make;","select t2.horsepower ,  t1.make from car_names as t1 join cars_data as t2 on t1.makeid  =  t2.id where t2.cylinders  =  3 order by t2.horsepower desc limit 1;",0,0,0,0,0,0
61,"SELECT Make, MAX(Horsepower) FROM cars_data WHERE Cylinders = 3 GROUP BY Make;","select t2.horsepower ,  t1.make from car_names as t1 join cars_data as t2 on t1.makeid  =  t2.id where t2.cylinders  =  3 order by t2.horsepower desc limit 1;",0,0,0,0,0,0
62,"SELECT Model, AVG(MPG) as avg_mpg FROM cars_data GROUP BY Model ORDER BY avg_mpg DESC LIMIT 1;",select t1.model from car_names as t1 join cars_data as t2 on t1.makeid  =  t2.id order by t2.mpg desc limit 1;,0,0,0,0,0,0
63,SELECT Model FROM cars_data WHERE MPG = (SELECT MAX(MPG) FROM cars_data),select t1.model from car_names as t1 join cars_data as t2 on t1.makeid  =  t2.id order by t2.mpg desc limit 1;,0,0,0,0,0,0
64,SELECT AVG(Horsepower) as Avg_Horsepower FROM cars_data WHERE Year < 1980,select avg(horsepower) from cars_data where year  <  1980;,1,0,0,1.0,1.0,1.0
65,SELECT AVG(Horsepower) as Avg_Horsepower FROM cars_data WHERE Year < 1980,select avg(horsepower) from cars_data where year  <  1980;,1,0,0,1.0,1.0,1.0
66,SELECT AVG(Edispl) as avg_edispl FROM cars_data WHERE Model = 'volvo';,select avg(t2.edispl) from car_names as t1 join cars_data as t2 on t1.makeid  =  t2.id where t1.model  =  'volvo';,0,0,0,0,0,0
67,SELECT AVG(Edispl) as avg_edispl FROM cars_data WHERE Make = 'volvo';,select avg(t2.edispl) from car_names as t1 join cars_data as t2 on t1.makeid  =  t2.id where t1.model  =  'volvo';,0,0,0,0,0,0
68,"SELECT Cylinders, MAX(Accelerate) as MaxAccelerate FROM cars_data GROUP BY Cylinders ORDER BY Cylinders;","select max(accelerate) ,  cylinders from cars_data group by cylinders;",10,0,0,1.0,1.0,1.0
69,SELECT MAX(accelerate) as max_accelerate FROM cars_data GROUP BY Cylinders,"select max(accelerate) ,  cylinders from cars_data group by cylinders;",5,0,5,1.0,0.5,0.6666666666666666
70,"SELECT m.Model, COUNT(*) as NumCars FROM car_names cn JOIN cars_data cd ON cn.Id = cd.Id JOIN model_list ml ON ml.Model = cn.Model JOIN car_makers cm ON ml.Country = cm.Country JOIN countries co ON co.CountryId = ml.Country JOIN continents co2 ON co.Continent = co2.Continent GROUP BY m.Model ORDER BY NumCars DESC LIMIT 1",select model from car_names group by model order by count(*) desc limit 1;,0,0,0,0,0,0
71,"SELECT Model, COUNT(*) as Num_Versions FROM model_list GROUP BY Model ORDER BY Num_Versions DESC LIMIT 1;",select model from car_names group by model order by count(*) desc limit 1;,0,2,1,0.0,0.0,0
72,SELECT COUNT(*) FROM cars_data WHERE Cylinders > 4;,select count(*) from cars_data where cylinders  >  4;,1,0,0,1.0,1.0,1.0
73,SELECT COUNT(*) FROM cars_data WHERE Cylinders > 4;,select count(*) from cars_data where cylinders  >  4;,1,0,0,1.0,1.0,1.0
74,SELECT COUNT(*) FROM cars_data WHERE Year = 1980,select count(*) from cars_data where year  =  1980;,1,0,0,1.0,1.0,1.0
75,SELECT COUNT(*) FROM cars_data WHERE Year = 1980,select count(*) from cars_data where year  =  1980;,1,0,0,1.0,1.0,1.0
76,SELECT COUNT(*) FROM model_list WHERE Maker = (SELECT Id FROM car_makers WHERE FullName = 'American Motor Company');,select count(*) from car_makers as t1 join model_list as t2 on t1.id  =  t2.maker where t1.fullname  =  'american motor company';,0,1,1,0.0,0.0,0
77,SELECT COUNT(*) FROM model_list WHERE Maker = (SELECT Id FROM car_makers WHERE FullName = 'American Motor Company');,select count(*) from car_makers as t1 join model_list as t2 on t1.id  =  t2.maker where t1.fullname  =  'american motor company';,0,1,1,0.0,0.0,0
78,"SELECT car_makers.FullName, car_makers.Id FROM car_makers JOIN model_list ON car_makers.Id = model_list.Maker GROUP BY car_makers.Id HAVING COUNT(*) > 3;","select t1.fullname ,  t1.id from car_makers as t1 join model_list as t2 on t1.id  =  t2.maker group by t1.id having count(*)  >  3;",4,0,0,1.0,1.0,1.0
79,"SELECT car_makers.Id, car_makers.Maker FROM car_makers JOIN model_list ON car_makers.Id = model_list.Maker GROUP BY car_makers.Id HAVING COUNT(*) > 3;","select t1.fullname ,  t1.id from car_makers as t1 join model_list as t2 on t1.id  =  t2.maker group by t1.id having count(*)  >  3;",2,2,2,0.5,0.5,0.5
80,SELECT Model FROM car_names INNER JOIN cars_data ON car_names.MakeId = cars_data.Id INNER JOIN car_makers ON cars_data.Weight > 3500 AND car_makers.FullName = 'General Motors',select distinct t2.model from car_names as t1 join model_list as t2 on t1.model  =  t2.model join car_makers as t3 on t2.maker  =  t3.id join cars_data as t4 on t1.makeid  =  t4.id where t3.fullname  =  'general motors' or t4.weight  >  3500;,3,110,10,0.02654867256637168,0.23076923076923078,0.047619047619047616
81,SELECT m.Model FROM car_names cn JOIN model_list ml ON cn.ModelId = ml.ModelId JOIN car_makers cm ON ml.Maker = cm.Id WHERE (cm.Maker = 'General Motors' OR (cn.Weight > 3500)) GROUP BY ml.Model ORDER BY ml.Model;,select distinct t2.model from car_names as t1 join model_list as t2 on t1.model  =  t2.model join car_makers as t3 on t2.maker  =  t3.id join cars_data as t4 on t1.makeid  =  t4.id where t3.fullname  =  'general motors' or t4.weight  >  3500;,0,0,0,0,0,0
82,SELECT Year FROM cars_data WHERE Weight BETWEEN 3000 AND 4000;,select distinct year from cars_data where weight between 3000 and 4000;,1,106,12,0.009345794392523364,0.07692307692307693,0.016666666666666666
83,SELECT Year FROM cars_data WHERE Weight < 4000 UNION ALL SELECT Year FROM cars_data WHERE Weight > 3000,select distinct year from cars_data where weight between 3000 and 4000;,1,512,12,0.001949317738791423,0.07692307692307693,0.0038022813688212923
84,SELECT HORSEPOWER FROM cars_data ORDER BY ACCELERATE DESC LIMIT 1,select t1.horsepower from cars_data as t1 order by t1.accelerate desc limit 1;,1,0,0,1.0,1.0,1.0
85,SELECT HORSEPOWER FROM cars_data ORDER BY ACCELERATE DESC LIMIT 1;,select t1.horsepower from cars_data as t1 order by t1.accelerate desc limit 1;,1,0,0,1.0,1.0,1.0
86,SELECT Cylinders FROM cars_data WHERE Model = 'volvo' ORDER BY Accelerate LIMIT 1,select t1.cylinders from cars_data as t1 join car_names as t2 on t1.id  =  t2.makeid where t2.model  =  'volvo' order by t1.accelerate asc limit 1;,0,0,0,0,0,0
87,SELECT Cylinders FROM cars_data WHERE Model = 'volvo' ORDER BY Accelerate LIMIT 1,select t1.cylinders from cars_data as t1 join car_names as t2 on t1.id  =  t2.makeid where t2.model  =  'volvo' order by t1.accelerate asc limit 1;,0,0,0,0,0,0
88,SELECT COUNT(*) FROM cars_data WHERE Accelerate > ( SELECT MAX(Accelerate) FROM cars_data WHERE Horsepower = ( SELECT MAX(Horsepower) FROM cars_data ) ),select count(*) from cars_data where accelerate  >  ( select accelerate from cars_data order by horsepower desc limit 1 );,0,1,1,0.0,0.0,0
89,SELECT COUNT(*) FROM cars_data WHERE Accelerate > ( SELECT MAX(Accelerate) FROM cars_data WHERE Horsepower = ( SELECT MAX(Horsepower) FROM cars_data ) );,select count(*) from cars_data where accelerate  >  ( select accelerate from cars_data order by horsepower desc limit 1 );,0,1,1,0.0,0.0,0
90,"SELECT COUNT(DISTINCT c.CountryName) as num_countries, COUNT(*) as num_car_makers FROM countries c JOIN cars_data cd ON c.CountryId = cd.MakeId GROUP BY c.CountryName HAVING num_car_makers > 2;",select count(*) from countries as t1 join car_makers as t2 on t1.countryid  =  t2.country group by t1.countryid having count(*)  >  2,0,0,0,0,0,0
91,"SELECT COUNT(DISTINCT c.CountryName) as num_countries FROM countries c JOIN ( SELECT CountryId, COUNT(*) as num_makers FROM car_makers GROUP BY CountryId HAVING num_makers > 2 ) cm ON c.CountryId = cm.CountryId;",select count(*) from countries as t1 join car_makers as t2 on t1.countryid  =  t2.country group by t1.countryid having count(*)  >  2,0,0,0,0,0,0
92,SELECT COUNT(*) FROM cars_data WHERE Cylinders > 6;,select count(*) from cars_data where cylinders  >  6;,1,0,0,1.0,1.0,1.0
93,SELECT COUNT(*) FROM cars_data WHERE Cylinders > 6,select count(*) from cars_data where cylinders  >  6;,1,0,0,1.0,1.0,1.0
94,"SELECT Model, MAX(Horsepower) FROM cars_data WHERE Cylinders = 4 GROUP BY Model ORDER BY MAX(Horsepower) DESC LIMIT 1",select t1.model from car_names as t1 join cars_data as t2 on t1.makeid  =  t2.id where t2.cylinders  =  4 order by t2.horsepower desc limit 1;,0,0,0,0,0,0
95,"SELECT Model, MAX(Horsepower) FROM cars_data WHERE Cylinders = 4 GROUP BY Model ORDER BY MAX(Horsepower) DESC LIMIT 1",select t1.model from car_names as t1 join cars_data as t2 on t1.makeid  =  t2.id where t2.cylinders  =  4 order by t2.horsepower desc limit 1;,0,0,0,0,0,0
96,"SELECT c.MakeId, c.Model FROM cars_data c JOIN car_names n ON c.Id = n.MakeId JOIN car_makers m ON n.Make = m.Maker WHERE ( (SELECT COUNT(*) FROM cars_data d WHERE d.Horsepower < c.Horsepower) > 3 AND Cylinders <= 3 ) ORDER BY Horsepower DESC","select t2.makeid ,  t2.make from cars_data as t1 join car_names as t2 on t1.id  =  t2.makeid where t1.horsepower  >  (select min(horsepower) from cars_data) and t1.cylinders  <=  3;",0,0,0,0,0,0
97,"SELECT MakeId, Model FROM cars_data WHERE Horsepower < ( SELECT MIN(Horsepower) FROM cars_data ) AND Cylinders < 4;","select t2.makeid ,  t2.make from cars_data as t1 join car_names as t2 on t1.id  =  t2.makeid where t1.horsepower  >  (select min(horsepower) from cars_data) and t1.cylinders  <  4;",0,0,0,0,0,0
98,SELECT MAX(MPG) as Max_MPG FROM cars_data WHERE Cylinders = 8 OR Year < 1980;,select max(mpg) from cars_data where cylinders  =  8 or year  <  1980,1,0,0,1.0,1.0,1.0
99,SELECT MAX(MPG) as MaxMPG FROM cars_data WHERE (Cylinders = 8 OR Year < 1980),select max(mpg) from cars_data where cylinders  =  8 or year  <  1980,1,0,0,1.0,1.0,1.0
100,SELECT Model FROM model_list JOIN car_names ON model_list.Model = car_names.Model JOIN cars_data ON car_names.Make = cars_data.Make WHERE Weight < 3500 AND Maker != 'Ford Motor Company' ORDER BY Model;,select distinct t1.model from model_list as t1 join car_names as t2 on t1.model  =  t2.model join cars_data as t3 on t2.makeid  =  t3.id join car_makers as t4 on t1.maker  =  t4.id where t3.weight  <  3500 and t4.fullname != 'ford motor company';,0,0,0,0,0,0
101,SELECT m.Model FROM model_list m JOIN car_names c ON m.Model = c.Model LEFT JOIN cars_data cd ON c.MakeId = cd.Id WHERE cd.Weight IS NULL OR cd.Weight < 3500 AND m.Id NOT IN ( SELECT Id FROM car_names WHERE Make = 'Ford' ) ORDER BY m.Model;,select distinct t1.model from model_list as t1 join car_names as t2 on t1.model  =  t2.model join cars_data as t3 on t2.makeid  =  t3.id join car_makers as t4 on t1.maker  =  t4.id where t3.weight  <  3500 and t4.fullname != 'ford motor company';,0,0,0,0,0,0
102,SELECT c.CountryName FROM countries c WHERE NOT EXISTS (SELECT 1 FROM car_makers cm WHERE cm.Country = c.CountryName),select countryname from countries except select t1.countryname from countries as t1 join car_makers as t2 on t1.countryid  =  t2.country;,0,15,7,0.0,0.0,0
103,SELECT c.CountryName FROM countries c LEFT JOIN car_makers cm ON c.CountryId = cm.Country WHERE cm.Id IS NULL;,select countryname from countries except select t1.countryname from countries as t1 join car_makers as t2 on t1.countryid  =  t2.country;,0,7,7,0.0,0.0,0
